Date,temperature
20240101,4.1
20240108,4.5
20240115,4.7
20240205,5.0
20240212,3.7
20240219,2.0
20240226,3.5
20240304,4.2
20240311,5.0
20240318,5.4
20240325,7.1
20240401,8.2
20240408,10.0
20240415,11.1
20240422,12.9
20240429,13.5
20240506,14.7
20240513,15.1
20240520,15.9
20240527,16.6
20240603,16.7
20240610,17.9
20240617,19.2
20240624,20.1
20240701,21.1
20240708,21.9
20240715,22.5
20240722,23.7
20240729,24.4
20240805,25.5
20240812,26.0
20240819,26.1
20240826,26.4
20240902,25.6
20240909,24.0
20240916,23.5
20240923,22.2
20240930,21.0
20241007,20.4
20241014,19.5
20241021,18.3
20241028,17.0
20241104,15.4
